,Title,Questions,answers
0,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',Which company has been awarded the Singapore Energy Award for its contributions to the development of Singapore's solar industry?,Sembcorp Solar Singapore
1,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the total solar capacity of Sembcorp Solar Singapore as of Q3 2022?,Over 530 megawatt-peak
2,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What percentage of Singapore's solar deployment target does Sembcorp Solar Singapore contribute to?,Around 35%
3,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the Sembcorp Tengeh Floating Solar Farm?,One of the world's largest inland floating solar photovoltaic systems
4,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What has Sembcorp Solar Singapore done in terms of capability development for the solar industry?,Worked with educational institutions to develop certified curriculum focused on solar energy competency
5,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',How many pairs of questions and answers should be in the JSON?,10
6,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the format of the resultant dictionary?,"('1': ('question': 'INSERT_QUESTION_HERE', 'answer', 'INSERT_ANSWER_HERE'), '2': (), ...)"
7,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the Singapore Energy Award?,An award given for contributions to the development of Singapore's energy industry
8,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the role of Sembcorp Solar Singapore in increasing solar capacity in Singapore?,Played a core role in increasing solar capacity
9,EMA: b'Sembcorp Solar Awarded Singapore Energy Award 2022',What is the key project of Sembcorp Solar Singapore?,The Sembcorp Tengeh Floating Solar Farm
10,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the purpose of the Memorandum of Understanding between JTC Corporation and Shell Singapore?,To explore developing a solar farm on part of Semakau Landfill in Singapore.
11,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected size of the solar farm on Semakau Landfill?,60ha.
12,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected capacity of the solar farm on Semakau Landfill?,At least 72MWp.
13,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',How much CO2 emissions are expected to be reduced by the solar farm on Semakau Landfill?,"37,000 tonnes per year."
14,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',How many households can be powered by the energy produced from the solar farm on Semakau Landfill?,"Up to 17,500 households for a year."
15,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is Singapore's target for solar deployment by 2030?,At least 2GWp.
16,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the main objective of the collaboration between JTC Corporation and Shell Singapore?,To maximize the use of renewable energy solutions and optimize available land for solar generation.
17,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is Shell's plan to reduce its own CO2 emissions in Singapore?,To reduce its own CO2 emissions by about a third within a decade.
18,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the timeframe for Shell's plan to repurpose its core business?,A 10-year plan.
19,EMA: b'JTC & Shell to Explore Semakau Solar Farm to Meet Singapores Growing Clean Energy Needs',What is the expected reduction in CO2 emissions by Shell in Singapore?,About a third within a decade.
20,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the target solar energy deployment by the Singapore government by 2030?,2 gigawatt-peak (GWp)
21,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the target solar energy deployment by the Singapore government by 2025?,1.5 gigawatt-peak (GWp)
22,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',How much has the installed solar capacity in landed homes grown since 2015?,Four times
23,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What was the installed solar capacity in landed homes as of Q4 2020?,Around 14.9 megawatt-peak (MWp)
24,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What efforts are being made to make it easier for consumers to sell their excess solar energy?,The Energy Market Authority (EMA) has introduced schemes to simplify credit treatment and lower the cost of entry for selling solar energy.
25,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is currently a barrier to installing solar panels for landed homes?,The cost of installation
26,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is suggested to encourage more installations of solar panels for landed homes?,"Providing monetary incentives such as property tax rebates or income tax relief, and eliminating the price differential between the cost of buying and selling electricity from households generating solar energy."
27,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the suggestion to reduce the break-even period for installing solar panels?,Providing monetary incentives and eliminating the price differential
28,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the current installed solar capacity in landed homes?,Around 14.9 megawatt-peak (MWp)
29,EMA: b'Solar Energy: Efforts Ongoing to Encourage Adoption',What is the target solar energy deployment by the Singapore government by 2025?,1.5 gigawatt-peak (GWp)
30,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',What was Singapore's solar deployment target for 2020?,350 megawatt-peak (MWp)
31,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',What is the next solar deployment target for Singapore by 2030?,At least 2 gigawatt-peak (GWp)
32,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',Which two solar initiatives will JTC be extending?,SolarLand and SolarRoof
33,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',How much solar energy capacity will SolarLand and SolarRoof contribute towards the 2030 national target?,Over 82MWp
34,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',How much industrial land and roof space will the SolarLand programme use?,"Over 740,000 sqm"
35,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',What is the aim of the SolarRoof programme?,To create an additional 15MWp of solar energy capacity
36,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',When did Singapore achieve its 2020 solar deployment target?,In the first quarter of this year
37,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',What is the target year for achieving at least 2 gigawatt-peak (GWp) of solar deployment?,2030
38,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',How much solar energy capacity did Singapore achieve in 2020?,350 megawatt-peak (MWp)
39,EMA: b'Singapore Meets Its 2020 Solar Deployment Target',How much solar energy capacity does Singapore aim to achieve by 2030?,At least 2 gigawatt-peak (GWp)
40,EMA: b'Solar',What is the target solar deployment in Singapore by 2025?,1.5 GWp
41,EMA: b'Solar',What is the target solar deployment in Singapore by 2030?,At least 2 GWp
42,EMA: b'Solar',What program installs solar PV systems on rooftops of public sector buildings?,SolarNova
43,EMA: b'Solar',What program uses modular solar PV systems for alternative locations?,SolarLand
44,EMA: b'Solar',What type of solar PV systems are being deployed on reservoirs?,Large-scale floating solar PV systems
45,EMA: b'Solar',What is the maximum storage capacity of the Sembcorp ESS?,285 MWh
46,EMA: b'Solar',What model has been developed to anticipate solar intermittency?,Solar Forecasting Model
47,EMA: b'Solar',What is the name of Southeast Asia's largest ESS?,Sembcorp ESS
48,EMA: b'Solar',What are individuals encouraged to consider installing?,Solar PV systems
49,EMA: b'Solar',What are businesses encouraged to adopt?,Clean energy technologies
50,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the capacity of the Sembcorp Energy Storage System (ESS)?,The ESS has a maximum storage capacity of 285 megawatt hour (MWh).
51,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How many households can the ESS meet the electricity needs of for one day?,"The ESS can meet the electricity needs of around 24,000 households for one day."
52,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How long did it take to commission the ESS?,The ESS was commissioned in just six months.
53,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What role will the ESS play in Singapore's energy transition?,The ESS will support the active management of electricity supply and demand for grid stability and contribute to Singapore's transition towards cleaner energy sources.
54,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What type of batteries are used in the ESS?,The ESS uses lithium iron phosphate batteries with high energy density and fast response time.
55,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What program is the ESS part of?,The ESS is part of the Energy Market Authority's Accelerating Energy Storage for Singapore (ACCESS) program.
56,"EMA: b""Southeast Asia's largest energy storage system officially opens""",Where is the Sembcorp Energy Storage System located?,The ESS is located on Jurong Island in Singapore.
57,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the purpose of the Energy Market Authority's ACCESS program?,The ACCESS program aims to accelerate energy storage adoption in Singapore.
58,"EMA: b""Southeast Asia's largest energy storage system officially opens""",How many battery units are there in the ESS?,The ESS comprises over 800 large-scale battery units.
59,"EMA: b""Southeast Asia's largest energy storage system officially opens""",What is the response time of the ESS?,The ESS has a fast response time.
60,EMA: b'Energy Storage Systems',What is the purpose of the Energy Storage System (ESS)?,"The ESS is a technology that can store energy for later use, addressing solar intermittency and enhancing grid resilience."
61,EMA: b'Energy Storage Systems',What is the ACCESS program launched by the Energy Market Authority (EMA)?,"The ACCESS program aims to promote ESS adoption in Singapore by facilitating use cases, securing space, and facilitating regulatory approvals."
62,EMA: b'Energy Storage Systems',What initiatives has EMA launched to promote ESS adoption in Singapore?,EMA has launched initiatives such as an Expression of Interest (EOI) to build and operate 200MW/200MWh of ESS in Singapore and a Handbook for ESS applications.
63,EMA: b'Energy Storage Systems',What insights does the ESS Technology Roadmap provide?,The ESS Technology Roadmap provides insights on global ESS development and economics.
64,EMA: b'Energy Storage Systems',What guidelines does the Electrical Energy Storage Systems Technical Reference (TR 77) offer?,The TR 77 offers guidelines for deploying and maintaining storage systems in Singapore.
65,EMA: b'Energy Storage Systems',What problem does the ESS address?,The ESS addresses solar intermittency and enhances grid resilience.
66,EMA: b'Energy Storage Systems',What is the purpose of the ACCESS program?,The ACCESS program aims to promote ESS adoption in Singapore.
67,EMA: b'Energy Storage Systems',What does the EMA's Expression of Interest (EOI) aim to do?,The EOI aims to build and operate 200MW/200MWh of ESS in Singapore.
68,EMA: b'Energy Storage Systems',What does the EMA Handbook for ESS applications provide?,The Handbook provides guidance and information for ESS applications in Singapore.
69,EMA: b'Energy Storage Systems',What does the TR 77 offer guidelines for?,The TR 77 offers guidelines for deploying and maintaining storage systems in Singapore.
70,EMA: b'EMA-Shell Partnership',What is the purpose of the Memorandum of Understanding signed between EMA and Shell Singapore?,"To nurture local energy startups and build capabilities in renewable energy, distributed power generation, and Energy Storage Systems (ESS)."
71,EMA: b'EMA-Shell Partnership',What is the Shell Startup Engine Programme?,It is a program that provides support and funding opportunities for participating startups.
72,EMA: b'EMA-Shell Partnership',How many projects have been awarded under the EMA-Shell Startup Partnership?,Five projects have been awarded.
73,EMA: b'EMA-Shell Partnership',What are some examples of the awarded projects?,"Examples include universal battery packs for personal mobility devices, sustainable charging infrastructure for unmanned delivery vehicles, and improving efficiency of solar photovoltaic deployment using drone imaging solution."
74,EMA: b'EMA-Shell Partnership',What is the purpose of the Joint Request for Proposal launched by EMA and Shell?,"To design and deploy battery energy storage systems, fast electric vehicle chargers, and a smart energy management system at three Shell service stations in Singapore."
75,EMA: b'EMA-Shell Partnership',What opportunities does the Joint Request for Proposal provide for SMEs?,It provides opportunities for SMEs to testbed their solutions and enhance their competitiveness.
76,EMA: b'EMA-Shell Partnership',What are the focus areas of the partnership between EMA and Shell Singapore?,"The focus areas are renewable energy, distributed power generation, and Energy Storage Systems (ESS)."
77,EMA: b'EMA-Shell Partnership',What is the goal of the Shell Startup Engine Programme?,The goal is to support and fund energy startups.
78,EMA: b'EMA-Shell Partnership',What is the purpose of the EMA-Shell Startup Partnership?,The purpose is to nurture local energy startups and build capabilities in the energy sector.
79,EMA: b'EMA-Shell Partnership',What is the aim of the projects awarded under the EMA-Shell Startup Partnership?,"The aim is to develop innovative solutions in areas such as battery packs, charging infrastructure, and solar deployment efficiency."
80,EMA: b'EMA-Keppel Partnership',What is the purpose of the partnership between EMA and KOM?,To develop innovative energy solutions in the marine sector.
81,EMA: b'EMA-Keppel Partnership',How much is the investment for the partnership?,$10 million.
82,EMA: b'EMA-Keppel Partnership',Where will the solutions be tested?,On KOM's Floating Living Lab in Singapore.
83,EMA: b'EMA-Keppel Partnership',What is the objective of the EMA-KOM Joint Grant Call?,To develop marinised energy storage system (ESS) solutions and IIoT-based smart grid solutions for offshore/marine environments.
84,EMA: b'EMA-Keppel Partnership',What is the outcome of the grant call?,The development of a marinised AIoT-enabled ESS and digital solution for a carbon-neutral shipyard.
85,EMA: b'EMA-Keppel Partnership',Who is involved in the partnership?,The Energy Market Authority (EMA) and Keppel Offshore & Marine (KOM).
86,EMA: b'EMA-Keppel Partnership',What sector is the partnership focused on?,The marine sector.
87,EMA: b'EMA-Keppel Partnership',What type of solutions will be developed?,Marinised energy storage system (ESS) solutions and IIoT-based smart grid solutions.
88,EMA: b'EMA-Keppel Partnership',Where is KOM's Floating Living Lab located?,In Singapore.
89,EMA: b'EMA-Keppel Partnership',What is the purpose of the marinised AIoT-enabled ESS?,To provide a digital solution for a carbon-neutral shipyard.
90,EMA: b'EMA-PSA Partnership',What is the purpose of the ASGARD Project?,The purpose of the ASGARD Project is to develop a smart grid management system connected to PSA's existing IT and SCADA system to optimize energy consumption at the port.
91,EMA: b'EMA-PSA Partnership',What is the goal of the ASGARD Project?,"The goal of the ASGARD Project is to reduce energy usage, costs, and Singapore's carbon footprint through smart grids and energy storage."
